epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1175.94,0.93092,0.85958,1.32827,0.82079,0.71846,0.76171,0.51141,1.41169,1.26699,1.99791,0.00107288,0.00107288,0.00107288
74,1190.53,0.96027,0.8595,1.32706,0.73822,0.68563,0.72013,0.4889,1.45569,1.32909,2.06641,0.00106463,0.00106463,0.00106463
75,1205.16,0.9621,0.88509,1.35274,0.78622,0.7006,0.75083,0.4913,1.45605,1.25245,2.02576,0.00105638,0.00105638,0.00105638
76,1219.9,0.93202,0.86628,1.3414,0.81742,0.71486,0.77798,0.52194,1.42486,1.18965,2.02381,0.00104813,0.00104813,0.00104813
77,1234.15,0.92615,0.85078,1.30109,0.81637,0.75072,0.75364,0.49514,1.53045,1.21959,2.18891,0.00103987,0.00103987,0.00103987
78,1248.37,0.90896,0.83256,1.31185,0.7579,0.72431,0.75879,0.50167,1.49063,1.23934,2.14709,0.00103162,0.00103162,0.00103162
79,1263.37,0.94526,0.83292,1.32684,0.77213,0.67124,0.72518,0.48585,1.45548,1.35688,2.05558,0.00102337,0.00102337,0.00102337
80,1277.62,0.91468,0.80636,1.31103,0.82401,0.72092,0.76772,0.52027,1.42489,1.2417,2.05636,0.00101512,0.00101512,0.00101512
81,1292.75,0.9057,0.78977,1.2993,0.78302,0.72466,0.74819,0.4998,1.47863,1.24768,2.13541,0.00100687,0.00100687,0.00100687
82,1307.45,0.8992,0.82349,1.28904,0.86762,0.67924,0.76014,0.50994,1.44399,1.17053,2.10169,0.000998616,0.000998616,0.000998616
83,1323.11,0.89019,0.83383,1.31212,0.80385,0.74571,0.75774,0.52154,1.42699,1.17971,2.05279,0.000990365,0.000990365,0.000990365
84,1338.03,0.89158,0.79706,1.29401,0.83809,0.69456,0.75056,0.48882,1.50072,1.26573,2.14048,0.000982113,0.000982113,0.000982113
85,1353.1,0.8923,0.81123,1.30401,0.84308,0.67244,0.76057,0.50038,1.48218,1.27723,2.07889,0.000973861,0.000973861,0.000973861
86,1368.1,0.89335,0.79453,1.29294,0.81089,0.68361,0.73074,0.49733,1.46059,1.30303,2.07888,0.00096561,0.00096561,0.00096561
87,1382.82,0.90995,0.80427,1.29887,0.78925,0.65339,0.731,0.50121,1.44211,1.24453,2.11244,0.000957358,0.000957358,0.000957358
88,1396.96,0.91009,0.78564,1.31472,0.84253,0.68001,0.73902,0.50622,1.40962,1.26794,2.06924,0.000949106,0.000949106,0.000949106
89,1411.98,0.92421,0.77466,1.30811,0.84864,0.67454,0.73915,0.50655,1.39876,1.18666,2.00784,0.000940855,0.000940855,0.000940855
90,1426.92,0.87976,0.77153,1.28395,0.82476,0.72379,0.75418,0.52178,1.3585,1.23629,1.97198,0.000932603,0.000932603,0.000932603
91,1441.47,0.88416,0.77191,1.28608,0.82889,0.71846,0.78305,0.52327,1.43005,1.24361,1.99796,0.000924352,0.000924352,0.000924352
92,1456.12,0.88591,0.7809,1.28019,0.85166,0.67641,0.76016,0.5146,1.42436,1.2472,2.01297,0.0009161,0.0009161,0.0009161
93,1471.01,0.86863,0.79834,1.26764,0.82082,0.70202,0.76691,0.52482,1.37902,1.16179,2.0174,0.000907848,0.000907848,0.000907848
94,1486.15,0.8291,0.73176,1.2428,0.78013,0.74539,0.779,0.54523,1.39065,1.29783,2.03119,0.000899597,0.000899597,0.000899597
